,Titles,urls,Ratings,Ratings_counts,Prices,Discount_prct,Qty_sold_last_month_,Series,Colour,Form Factor,Standing screen display size,Screen Resolution,Resolution,Batteries,Item model number,Processor Brand,Processor Type,Processor Speed,Processor Count,Memory Technology,Computer Memory Type,Maximum Memory Supported,Hard Drive Size,Hard Disk Description,Speaker Description,Graphics Coprocessor,Graphics Chipset Brand,Graphics Card Description,Graphics RAM Type,Graphics Card Interface,Connectivity Type,Wireless Type,Number of HDMI Ports,Optical Drive Type,Operating System,Are Batteries Included,Lithium Battery Energy Content,Number of Lithium Ion Cells,Included Components,Item Weight,Prices_Category,Processor Speed_Base
57,Lenovo|IdeaPad Slim|15IRH8||16 GB|512 GB|SSD15 Inches,https://www.amazon.in/Lenovo-IdeaPad-i7-13620H-38-1cm-83EM008GIN/dp/B0D6NCVQZQ/ref=sr_1_52?crid=3GZCZ3LUIW710&dib=eyJ2IjoiMSJ9.erMYqUi9Fy4XUKl8XNzLHh-q8iKf0FV40UpNdX24fZLcOwVdqE5p4iXk2JAqq1Ht_tPEXIi_rzQutK057Yf6kcEFHkZ1QwtpHMQiTluYVuaXRAbBL_2pP5XCnjUQarEZjsmHv5Mu3sKeWYkpsXuDVq6DvVmqj20ASGagv-ebxnV4K4g9q1aOIORlHPJj30sDPZKOVT-mkmwUs0I1iYZbOiN8Vkt7juJhl6tS7vpbksk.ll6XDIPjjfg_vWeMEkTeBCAAdmN5d-ZD0zvgCxpI8vU&dib_tag=se&keywords=lenovo+laptops&qid=1768082193&refinements=p_123%3A391242&rnid=91049095031&sprefix=lenovo+laptops%2Caps%2C392&sr=8-52&xpid=IzsIf9sZEUUR3,4.1,455,67000,29,0,IdeaPad Slim,Grey,Thin & Light,15 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,1 Lithium Polymer batteries required. (included),15IRH8,Intel,,2.4,10.0,Lpddr 5,DDR5 RAM,16 GB,512 GB,SSD,"User-facing stereo speakers, 1.5W x2, optimized with Dolby Audio",Intel UHD Graphics,Intel,Integrated,Shared,Integrated,Wi-Fi,802.11ax,1.0,No Optical Drive,Windows 11 Home,Yes,4 Watt Hours,4.0,Laptop,2 kg 470 g,High,2.4
58,Lenovo|Yoga Slim 7|14ILL10|Intel Core Ultra 7||1 TB|SSD14,https://www.amazon.in/Lenovo-Copilot-35-5cm-Windows-83JX001MIN/dp/B0F5QC5BXH/ref=sr_1_53?crid=3GZCZ3LUIW710&dib=eyJ2IjoiMSJ9.erMYqUi9Fy4XUKl8XNzLHh-q8iKf0FV40UpNdX24fZLcOwVdqE5p4iXk2JAqq1Ht_tPEXIi_rzQutK057Yf6kcEFHkZ1QwtpHMQiTluYVuaXRAbBL_2pP5XCnjUQarEZjsmHv5Mu3sKeWYkpsXuDVq6DvVmqj20ASGagv-ebxnV4K4g9q1aOIORlHPJj30sDPZKOVT-mkmwUs0I1iYZbOiN8Vkt7juJhl6tS7vpbksk.ll6XDIPjjfg_vWeMEkTeBCAAdmN5d-ZD0zvgCxpI8vU&dib_tag=se&keywords=lenovo+laptops&qid=1768082193&refinements=p_123%3A391242&rnid=91049095031&sprefix=lenovo+laptops%2Caps%2C392&sr=8-53&xpid=IzsIf9sZEUUR3,4.2,48,138999,24,0,Yoga Slim 7,2025 Aura | Ultra 7 258V,Thin & Light,14,1920 x 1200 pixels,1920 x 1200,1 D batteries required. (included),14ILL10,Intel,Intel Core Ultra 7,2.2,8.0,DDR5,DDR5 RAM,32 GB,1 TB,SSD,"4 stereo speakers, 2W x2 (woofers), 2W x2 (tweeters), optimized with Dolby Atmos, Smart Amplifier (AMP)",Integrated Intel Arc Graphics 140V,Intel,Integrated,Shared,Integrated,Wi-Fi,802.11ax,1.0,No Optical Drive,Windows 11 Home,Yes,70 Watt Hours,4.0,Laptop,1 kg 190 g,Premium,2.2
59,Lenovo|LOQ|15IAX9|Core i5|16|512 GB|SSD15.6 Inches,https://www.amazon.in/Lenovo-i5-12450HX-300Nits-Graphics-83GS003NIN/dp/B0D49RN3X6/ref=sr_1_54?crid=3GZCZ3LUIW710&dib=eyJ2IjoiMSJ9.erMYqUi9Fy4XUKl8XNzLHh-q8iKf0FV40UpNdX24fZLcOwVdqE5p4iXk2JAqq1Ht_tPEXIi_rzQutK057Yf6kcEFHkZ1QwtpHMQiTluYVuaXRAbBL_2pP5XCnjUQarEZjsmHv5Mu3sKeWYkpsXuDVq6DvVmqj20ASGagv-ebxnV4K4g9q1aOIORlHPJj30sDPZKOVT-mkmwUs0I1iYZbOiN8Vkt7juJhl6tS7vpbksk.ll6XDIPjjfg_vWeMEkTeBCAAdmN5d-ZD0zvgCxpI8vU&dib_tag=se&keywords=lenovo+laptops&qid=1768082193&refinements=p_123%3A391242&rnid=91049095031&sprefix=lenovo+laptops%2Caps%2C392&sr=8-54&xpid=IzsIf9sZEUUR3,4.1,96,76100,25,50,LOQ,Luna Grey,Ultra-Portable,15.6 Inches,1920 x 1080 pixels,1920 x 1080,1 D batteries required. (included),15IAX9,Intel,Core i5,2.4,8.0,DDR5,DDR5 RAM,32 GB,512 GB,SSD,2 x 2W speakers with Nahimic Audio & Sound Tracker,NVIDIA GeForce RTX 3050,NVIDIA,Dedicated,GDDR6,PCI Express,Wi-Fi,802.11ax,1.0,Not Available,Windows 11,Yes,60 Watt Hours,4.0,Laptop,3 kg 590 g,High,2.4
60,Lenovo|IdeaPad Slim 3|15AHP10|AMD Ryzen 7||512 GB|SSD15.3 Inches,https://www.amazon.in/Lenovo-IdeaPad-Windows-Keyboard-83KA004SIN/dp/B0G4M48839/ref=sr_1_55?crid=3GZCZ3LUIW710&dib=eyJ2IjoiMSJ9.erMYqUi9Fy4XUKl8XNzLHh-q8iKf0FV40UpNdX24fZLcOwVdqE5p4iXk2JAqq1Ht_tPEXIi_rzQutK057Yf6kcEFHkZ1QwtpHMQiTluYVuaXRAbBL_2pP5XCnjUQarEZjsmHv5Mu3sKeWYkpsXuDVq6DvVmqj20ASGagv-ebxnV4K4g9q1aOIORlHPJj30sDPZKOVT-mkmwUs0I1iYZbOiN8Vkt7juJhl6tS7vpbksk.ll6XDIPjjfg_vWeMEkTeBCAAdmN5d-ZD0zvgCxpI8vU&dib_tag=se&keywords=lenovo+laptops&qid=1768082193&refinements=p_123%3A391242&rnid=91049095031&sprefix=lenovo+laptops%2Caps%2C392&sr=8-55&xpid=IzsIf9sZEUUR3,5.0,1,67490,29,0,IdeaPad Slim 3,Luna Grey,Thin & Light,15.3 Inches,1920 x 1200 pixels,1920 x 1200 Pixels,1 D batteries required. (included),15AHP10,AMD,AMD Ryzen 7,3.3,8.0,DDR5,DDR5 RAM,24 GB,512 GB,SSD,"User-facing stereo speakers, 2W x2, optimized with Dolby Audio",Integrated AMD Radeon 780M Graphics,Intel,Integrated,Shared,Integrated,Wi-Fi,802.11ax,1.0,No Optical Drive,Windows 11 Home,Yes,50 Watt Hours,4.0,"Laptop, Power Adapter, User guide",1 kg 590 g,High,3.3
61,Lenovo|V15|Slim 3|Core i5|16 GB|512 GB|SSD15.3 Inches,https://www.amazon.in/Lenovo-Business-Computer-i5-13420H-Bluetooth/dp/B0F8NHWV7N/ref=sr_1_56?crid=3GZCZ3LUIW710&dib=eyJ2IjoiMSJ9.erMYqUi9Fy4XUKl8XNzLHh-q8iKf0FV40UpNdX24fZLcOwVdqE5p4iXk2JAqq1Ht_tPEXIi_rzQutK057Yf6kcEFHkZ1QwtpHMQiTluYVuaXRAbBL_2pP5XCnjUQarEZjsmHv5Mu3sKeWYkpsXuDVq6DvVmqj20ASGagv-ebxnV4K4g9q1aOIORlHPJj30sDPZKOVT-mkmwUs0I1iYZbOiN8Vkt7juJhl6tS7vpbksk.ll6XDIPjjfg_vWeMEkTeBCAAdmN5d-ZD0zvgCxpI8vU&dib_tag=se&keywords=lenovo+laptops&qid=1768082193&refinements=p_123%3A391242&rnid=91049095031&sprefix=lenovo+laptops%2Caps%2C392&sr=8-56&xpid=IzsIf9sZEUUR3,4.9,14,54499,28,0,V15,Black,Clamshell,15.3 Inches,1920 x 1080 pixels,1920 x 1080,,Slim 3,Intel,Core i5,2.1,8.0,,DDR5 RAM,16 GB,512 GB,SSD,,Intel UHD Graphics,,Integrated,,,,802.11ax,,,Windows 11 Pro,No,,,,2 kg 270 g,Medium,2.1
62,Lenovo|V14|V14|Ryzen 3||512 GB|SSD14 Inches,https://www.amazon.in/Lenovo-V14-4GB-256GB-SSD/dp/B0DKG7KLMN/ref=sr_1_57?crid=3GZCZ3LUIW710&dib=eyJ2IjoiMSJ9.erMYqUi9Fy4XUKl8XNzLHh-q8iKf0FV40UpNdX24fZLcOwVdqE5p4iXk2JAqq1Ht_tPEXIi_rzQutK057Yf6kcEFHkZ1QwtpHMQiTluYVuaXRAbBL_2pP5XCnjUQarEZjsmHv5Mu3sKeWYkpsXuDVq6DvVmqj20ASGagv-ebxnV4K4g9q1aOIORlHPJj30sDPZKOVT-mkmwUs0I1iYZbOiN8Vkt7juJhl6tS7vpbksk.ll6XDIPjjfg_vWeMEkTeBCAAdmN5d-ZD0zvgCxpI8vU&dib_tag=se&keywords=lenovo+laptops&qid=1768082193&refinements=p_123%3A391242&rnid=91049095031&sprefix=lenovo+laptops%2Caps%2C392&sr=8-57&xpid=IzsIf9sZEUUR3,4.4,26,36999,39,0,V14,Silver,laptop,14 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,1 Lithium Ion batteries required.,V14,AMD,Ryzen 3,2.4,4.0,Lpddr 5,DDR5 RAM,8 GB,512 GB,SSD,Built in Dual Speakers,AMD Radeon 610M,AMD,Integrated,Shared,Integrated,"Bluetooth, Wi-Fi",802.11ax,1.0,,Windows 11 Pro,,36 Watt Hours,2.0,"LAPTOP, POWER ADAPTER, USER GUIDE",1 kg 500 g,Low,2.4
63,Lenovo|Yoga Slim 7|14IMH9|Intel Core Ultra 9||1 TB|SSD14 Inches,https://www.amazon.in/Lenovo-Smartchoice-WUXGA-OLED-Microsoft-83CV00B3IN/dp/B0FCXVS3NK/ref=sr_1_58?crid=3GZCZ3LUIW710&dib=eyJ2IjoiMSJ9.erMYqUi9Fy4XUKl8XNzLHh-q8iKf0FV40UpNdX24fZLcOwVdqE5p4iXk2JAqq1Ht_tPEXIi_rzQutK057Yf6kcEFHkZ1QwtpHMQiTluYVuaXRAbBL_2pP5XCnjUQarEZjsmHv5Mu3sKeWYkpsXuDVq6DvVmqj20ASGagv-ebxnV4K4g9q1aOIORlHPJj30sDPZKOVT-mkmwUs0I1iYZbOiN8Vkt7juJhl6tS7vpbksk.ll6XDIPjjfg_vWeMEkTeBCAAdmN5d-ZD0zvgCxpI8vU&dib_tag=se&keywords=lenovo+laptops&qid=1768082193&refinements=p_123%3A391242&rnid=91049095031&sprefix=lenovo+laptops%2Caps%2C392&sr=8-58&xpid=IzsIf9sZEUUR3,4.2,18,117999,25,0,Yoga Slim 7,Luna Grey,Thin & Light,14 Inches,1920 x 1200 pixels,1920 x 1200 Pixels,1 D batteries required. (included),14IMH9,Intel,Intel Core Ultra 9,2.3,16.0,Lpddr 5,DDR5 RAM,32 GB,1 TB,SSD,"Stereo speakers, 2W x4, optimized with Dolby Atmos, Amplifier (AMP)",Integrated Intel Arc Graphics,Intel,Integrated,Shared,Integrated,"Bluetooth, Wi-Fi",802.11ax,1.0,No Optical Drive,Windows 11 Home,Yes,65 Watt Hours,4.0,"Laptop, Power Adapter, User Guide, Warranty Card",1 kg 390 g,Premium,2.3
64,Lenovo|IdeaPad Slim 3|14IRH10|Core i5 Family||512 GB|SSD14 Inches,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NTg0Mjg0OTYzODEyMjE5OjE3NjgwODIxOTM6c3BfbXRmOjMwMDg5NTQxMDExNDUzMjo6MDo6&url=%2FLenovo-IdeaPad-i5-13420H-Keyboard-83K00034IN%2Fdp%2FB0FCY79NDV%2Fref%3Dsr_1_59_sspa%3Fcrid%3D3GZCZ3LUIW710%26dib%3DeyJ2IjoiMSJ9.erMYqUi9Fy4XUKl8XNzLHh-q8iKf0FV40UpNdX24fZLcOwVdqE5p4iXk2JAqq1Ht_tPEXIi_rzQutK057Yf6kcEFHkZ1QwtpHMQiTluYVuaXRAbBL_2pP5XCnjUQarEZjsmHv5Mu3sKeWYkpsXuDVq6DvVmqj20ASGagv-ebxnV4K4g9q1aOIORlHPJj30sDPZKOVT-mkmwUs0I1iYZbOiN8Vkt7juJhl6tS7vpbksk.ll6XDIPjjfg_vWeMEkTeBCAAdmN5d-ZD0zvgCxpI8vU%26dib_tag%3Dse%26keywords%3Dlenovo%2Blaptops%26qid%3D1768082193%26refinements%3Dp_123%253A391242%26rnid%3D91049095031%26sprefix%3Dlenovo%2Blaptops%252Caps%252C392%26sr%3D8-59-spons%26xpid%3DIzsIf9sZEUUR3%26aref%3DKVlowxUplg%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=KVlowxUplg&sp_cr=ZAZ,4.1,410,60600,27,50,IdeaPad Slim 3,Luna Grey,Thin & Light,14 Inches,1920 x 1200 pixels,1080 Pixels,1 D batteries required. (included),14IRH10,Intel,Core i5 Family,2.1,8.0,DDR5,DDR5 RAM,24 GB,512 GB,SSD,"User-facing stereo speakers, 2W x2, optimized with Dolby Audio",Intel UHD Graphics,Intel,Integrated,Shared,Integrated,Wi-Fi,802.11ax,1.0,No Optical Drive,Windows 11 Home,Yes,50 Watt Hours,4.0,Laptop,1 kg 390 g,High,2.1
65,Lenovo|IdeaPad|15IAH8|Core i5 Family||512 GB|SSD39.6 Centimetres,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NTg0Mjg0OTYzODEyMjE5OjE3NjgwODIxOTM6c3BfbXRmOjMwMDQ3MjU0MDU5NzUzMjo6MDo6&url=%2FLenovo-IdeaPad-i5-12450H-Windows-83ER00KPIN%2Fdp%2FB0DR96PF63%2Fref%3Dsr_1_60_sspa%3Fcrid%3D3GZCZ3LUIW710%26dib%3DeyJ2IjoiMSJ9.erMYqUi9Fy4XUKl8XNzLHh-q8iKf0FV40UpNdX24fZLcOwVdqE5p4iXk2JAqq1Ht_tPEXIi_rzQutK057Yf6kcEFHkZ1QwtpHMQiTluYVuaXRAbBL_2pP5XCnjUQarEZjsmHv5Mu3sKeWYkpsXuDVq6DvVmqj20ASGagv-ebxnV4K4g9q1aOIORlHPJj30sDPZKOVT-mkmwUs0I1iYZbOiN8Vkt7juJhl6tS7vpbksk.ll6XDIPjjfg_vWeMEkTeBCAAdmN5d-ZD0zvgCxpI8vU%26dib_tag%3Dse%26keywords%3Dlenovo%2Blaptops%26qid%3D1768082193%26refinements%3Dp_123%253A391242%26rnid%3D91049095031%26sprefix%3Dlenovo%2Blaptops%252Caps%252C392%26sr%3D8-60-spons%26xpid%3DIzsIf9sZEUUR3%26aref%3DiejkyDeOsy%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=iejkyDeOsy&sp_cr=ZAZ,3.9,320,50850,30,100,IdeaPad,"i5-12th Gen | 15.6""",Ultra-Portable,39.6 Centimetres,1920 x 1080 pixels,1920 x 1080,1 D batteries required. (included),15IAH8,Intel,Core i5 Family,2,5.0,Lpddr 5,DDR5 RAM,16 GB,512 GB,SSD,"Stereo speakers, 1.5W x2, Dolby Audio",Intel UHD Graphics,Intel,Integrated,Shared,Integrated,Wi-Fi,"802.11ax, Bluetooth",1.0,No Optical Drive,Windows 11,Yes,47 Watt Hours,4.0,Laptop,1 kg 370 g,Medium,2.0
66,Lenovo|IdeaPad Slim 5|16IMH9|Core i5|16|1 TB|SSD16 Inches,https://www.amazon.in/Lenovo-IdeaPad-WUXGA-IPS-GamePass-83DC0003IN/dp/B0CYGJLXCN/ref=sr_1_61?crid=3GZCZ3LUIW710&dib=eyJ2IjoiMSJ9.erMYqUi9Fy4XUKl8XNzLHh-q8iKf0FV40UpNdX24fZLcOwVdqE5p4iXk2JAqq1Ht_tPEXIi_rzQutK057Yf6kcEFHkZ1QwtpHMQiTluYVuaXRAbBL_2pP5XCnjUQarEZjsmHv5Mu3sKeWYkpsXuDVq6DvVmqj20ASGagv-ebxnV4K4g9q1aOIORlHPJj30sDPZKOVT-mkmwUs0I1iYZbOiN8Vkt7juJhl6tS7vpbksk.ll6XDIPjjfg_vWeMEkTeBCAAdmN5d-ZD0zvgCxpI8vU&dib_tag=se&keywords=lenovo+laptops&qid=1768082193&refinements=p_123%3A391242&rnid=91049095031&sprefix=lenovo+laptops%2Caps%2C392&sr=8-61&xpid=IzsIf9sZEUUR3,3.3,89,69990,43,50,IdeaPad Slim 5,Cloud Grey,Ultra-Portable,16 Inches,1920 x 1200 pixels,1920 x 1200 Pixels,1 Lithium Polymer batteries required. (included),16IMH9,Intel,Core i5,4.5,14.0,Lpddr5x,DDR5 RAM,16 GB,1 TB,SSD,"Stereo speakers, 2W x2, optimized with Dolby Audio",Integrated Intel Arc Graphics,Intel,Integrated,Shared,Integrated,Wi-Fi,Bluetooth,1.0,No Optical Drive,Windows 11 Home,Yes,57 Watt Hours,3.0,Laptop,2 kg 550 g,High,4.5
67,Lenovo|E14 Gen 5|E 15 Amd Zen 5|Ryzen 5|16 GB|512 GB|SSD14 Inches,https://www.amazon.in/Lenovo-ThinkPad-Graphics-Keyboard-21JRS00U00/dp/B0C7HYBQW1/ref=sr_1_62?crid=3GZCZ3LUIW710&dib=eyJ2IjoiMSJ9.erMYqUi9Fy4XUKl8XNzLHh-q8iKf0FV40UpNdX24fZLcOwVdqE5p4iXk2JAqq1Ht_tPEXIi_rzQutK057Yf6kcEFHkZ1QwtpHMQiTluYVuaXRAbBL_2pP5XCnjUQarEZjsmHv5Mu3sKeWYkpsXuDVq6DvVmqj20ASGagv-ebxnV4K4g9q1aOIORlHPJj30sDPZKOVT-mkmwUs0I1iYZbOiN8Vkt7juJhl6tS7vpbksk.ll6XDIPjjfg_vWeMEkTeBCAAdmN5d-ZD0zvgCxpI8vU&dib_tag=se&keywords=lenovo+laptops&qid=1768082193&refinements=p_123%3A391242&rnid=91049095031&sprefix=lenovo+laptops%2Caps%2C392&sr=8-62&xpid=IzsIf9sZEUUR3,4.1,244,60990,28,0,E14 Gen 5,Black,Laptop,14 Inches,1920 x 1080 pixels,1920 x 1200 Pixels,1 Lithium Polymer batteries required. (included),E 15 Amd Zen 5,AMD,Ryzen 5,2,1.0,DDR4,DDR4 SDRAM,40 GB,512 GB,SSD,,AMD Radeon Graphics,AMD,Integrated,Shared,Integrated,Wi-Fi,Bluetooth,1.0,No Optical Drive,Windows 11 Home,Yes,47 Watt Hours,3.0,"Laptop, User manual, Adapter",1 kg 400 g,High,2.0
68,Lenovo|82TS00PDLM|V14 G3|Core i5||512 GB|SSD14 Inches,https://www.amazon.in/Lenovo-V14-G3-i5-1235U-Graphics/dp/B0DYP1XGTC/ref=sr_1_63?crid=3GZCZ3LUIW710&dib=eyJ2IjoiMSJ9.erMYqUi9Fy4XUKl8XNzLHh-q8iKf0FV40UpNdX24fZLcOwVdqE5p4iXk2JAqq1Ht_tPEXIi_rzQutK057Yf6kcEFHkZ1QwtpHMQiTluYVuaXRAbBL_2pP5XCnjUQarEZjsmHv5Mu3sKeWYkpsXuDVq6DvVmqj20ASGagv-ebxnV4K4g9q1aOIORlHPJj30sDPZKOVT-mkmwUs0I1iYZbOiN8Vkt7juJhl6tS7vpbksk.ll6XDIPjjfg_vWeMEkTeBCAAdmN5d-ZD0zvgCxpI8vU&dib_tag=se&keywords=lenovo+laptops&qid=1768082193&refinements=p_123%3A391242&rnid=91049095031&sprefix=lenovo+laptops%2Caps%2C392&sr=8-63&xpid=IzsIf9sZEUUR3,4.1,21,51999,60,0,82TS00PDLM,Iron Grey,Notebook,14 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,1 12V batteries required. (included),V14 G3,Intel,Core i5,1.7,1.0,DDR4,DDR4 SDRAM,16 GB,512 GB,SSD,,Intel Iris Xe Graphics,Intel,Integrated,DDR4 SDRAM,Integrated,"Bluetooth, Wi-Fi","802.11ax, Bluetooth",1.0,BD-ROM,Windows 11 Home,Yes,65 Kilowatt Hours,2.0,ADAPTOR,1 kg 600 g,Medium,1.7
69,Lenovo|V15|Slim 3|Core i5|16 GB|512 GB|SSD15.3 Inches,https://www.amazon.in/Lenovo-Business-Octa-Core-i5-13420H-Bluetooth/dp/B0DBZTSTM7/ref=sr_1_65?crid=3GZCZ3LUIW710&dib=eyJ2IjoiMSJ9.erMYqUi9Fy4XUKl8XNzLHh-q8iKf0FV40UpNdX24fZLcOwVdqE5p4iXk2JAqq1Ht_tPEXIi_rzQutK057Yf6kcEFHkZ1QwtpHMQiTluYVuaXRAbBL_2pP5XCnjUQarEZjsmHv5Mu3sKeWYkpsXuDVq6DvVmqj20ASGagv-ebxnV4K4g9q1aOIORlHPJj30sDPZKOVT-mkmwUs0I1iYZbOiN8Vkt7juJhl6tS7vpbksk.ll6XDIPjjfg_vWeMEkTeBCAAdmN5d-ZD0zvgCxpI8vU&dib_tag=se&keywords=lenovo+laptops&qid=1768082193&refinements=p_123%3A391242&rnid=91049095031&sprefix=lenovo+laptops%2Caps%2C392&sr=8-65&xpid=IzsIf9sZEUUR3,4.1,65,54490,28,0,V15,Black,Clamshell,15.3 Inches,1920 x 1080 pixels,1920 x 1080,,Slim 3,Intel,Core i5,2.1,8.0,DDR4,DDR5 RAM,40 GB,512 GB,SSD,"Stereo speakers, 1.5W x2, Dolby Audio",Intel UHD Graphics,Intel,Integrated,,,Wi-Fi,802.11ax,1.0,,Windows 11 Pro,No,38 Watt Hours,,Windows 11 Pro installation media,1 kg 650 g,Medium,2.1
70,Lenovo|Lenovo V15|V15|Core i5-1235U|8 GB|512 GB|SSD15.6 Inches,https://www.amazon.in/Lenovo-V15-i5-1235U-Windows-82TTA07QIH/dp/B0DDY2JQLQ/ref=sr_1_66?crid=3GZCZ3LUIW710&dib=eyJ2IjoiMSJ9.erMYqUi9Fy4XUKl8XNzLHh-q8iKf0FV40UpNdX24fZLcOwVdqE5p4iXk2JAqq1Ht_tPEXIi_rzQutK057Yf6kcEFHkZ1QwtpHMQiTluYVuaXRAbBL_2pP5XCnjUQarEZjsmHv5Mu3sKeWYkpsXuDVq6DvVmqj20ASGagv-ebxnV4K4g9q1aOIORlHPJj30sDPZKOVT-mkmwUs0I1iYZbOiN8Vkt7juJhl6tS7vpbksk.ll6XDIPjjfg_vWeMEkTeBCAAdmN5d-ZD0zvgCxpI8vU&dib_tag=se&keywords=lenovo+laptops&qid=1768082193&refinements=p_123%3A391242&rnid=91049095031&sprefix=lenovo+laptops%2Caps%2C392&sr=8-66&xpid=IzsIf9sZEUUR3,4.2,11,47999,46,0,Lenovo V15,Iron Grey,Laptop,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels Per Inch,1 Lithium Polymer batteries required. (included),V15,Intel,Core i5-1235U,1.3,10.0,DDR4,DDR4 SDRAM,16 GB,512 GB,SSD,,Intel UHD Graphics,Intel,Integrated,Shared,Integrated,"Bluetooth, Cellular, Wi-Fi","5.8 GHz Radio Frequency, Bluetooth",1.0,No Optical Drive,Windows 11 Home,Yes,38 Watt Hours,2.0,"Laptop, Power Adapter, User Guide",1 kg 700 g,Medium,1.3
71,Lenovo|IdeaPad Slim 5|14AKP10|AMD Ryzen 7||1 TB|SSD14 Inches,https://www.amazon.in/Lenovo-IdeaPad-83HX001NIN-Copilot-Keyboard/dp/B0F4XHB911/ref=sr_1_67?crid=3GZCZ3LUIW710&dib=eyJ2IjoiMSJ9.erMYqUi9Fy4XUKl8XNzLHh-q8iKf0FV40UpNdX24fZLcOwVdqE5p4iXk2JAqq1Ht_tPEXIi_rzQutK057Yf6kcEFHkZ1QwtpHMQiTluYVuaXRAbBL_2pP5XCnjUQarEZjsmHv5Mu3sKeWYkpsXuDVq6DvVmqj20ASGagv-ebxnV4K4g9q1aOIORlHPJj30sDPZKOVT-mkmwUs0I1iYZbOiN8Vkt7juJhl6tS7vpbksk.ll6XDIPjjfg_vWeMEkTeBCAAdmN5d-ZD0zvgCxpI8vU&dib_tag=se&keywords=lenovo+laptops&qid=1768082193&refinements=p_123%3A391242&rnid=91049095031&sprefix=lenovo+laptops%2Caps%2C392&sr=8-67&xpid=IzsIf9sZEUUR3,3.6,59,82990,34,0,IdeaPad Slim 5,Luna Grey,Thin & Light,14 Inches,1920 x 1200 pixels,1920 x 1200 Pixels,1 D batteries required. (included),14AKP10,AMD,AMD Ryzen 7,2,8.0,DDR5,DDR5 RAM,24 GB,1 TB,SSD,"User-facing stereo speakers, 2W x2, optimized with Dolby Audio",Integrated AMD Radeon 860M Graphics,AMD,Integrated,Shared,Integrated,Wi-Fi,802.11ax,1.0,No Optical Drive,Windows 11 Home,Yes,60 Watt Hours,4.0,"Laptop, Power Adapter, User guide",1 kg 390 g,High,2.0
72,Lenovo|IdeaPad Slim 3|15IRH10|Core i5 Family||512 GB|SSD,https://www.amazon.in/Lenovo-Ideapad-I5-13420H-Keyboard-83K100C6IN/dp/B0FBGS6ZW8/ref=sr_1_68?crid=3GZCZ3LUIW710&dib=eyJ2IjoiMSJ9.erMYqUi9Fy4XUKl8XNzLHh-q8iKf0FV40UpNdX24fZLcOwVdqE5p4iXk2JAqq1Ht_tPEXIi_rzQutK057Yf6kcEFHkZ1QwtpHMQiTluYVuaXRAbBL_2pP5XCnjUQarEZjsmHv5Mu3sKeWYkpsXuDVq6DvVmqj20ASGagv-ebxnV4K4g9q1aOIORlHPJj30sDPZKOVT-mkmwUs0I1iYZbOiN8Vkt7juJhl6tS7vpbksk.ll6XDIPjjfg_vWeMEkTeBCAAdmN5d-ZD0zvgCxpI8vU&dib_tag=se&keywords=lenovo+laptops&qid=1768082193&refinements=p_123%3A391242&rnid=91049095031&sprefix=lenovo+laptops%2Caps%2C392&sr=8-68&xpid=IzsIf9sZEUUR3,4.6,9,59390,28,0,IdeaPad Slim 3,Grey,Thin & Light,,1920 x 1200 pixels,1920 x 1200,1 D batteries required. (included),15IRH10,Intel,Core i5 Family,3.4,8.0,DDR5,DDR5 RAM,24 GB,512 GB,SSD,"User-facing stereo speakers, 2W x2, optimized with Dolby Audio",Intel UHD Graphics,Intel,Integrated,Shared,Integrated,Wi-Fi,802.11ax,1.0,No Optical Drive,Windows 11 Home,Yes,50 Watt Hours,4.0,Laptop,1 kg 590 g,Medium,3.4
